e ɪ̯	A
b æ θ ɹ ʊ m	b a t h r o o m
b ɑː θ ɹ uː m	b a t h r o o m
b ɑː θ ɹ ʊ m	b a t h r o o m
b ɑː ð z	b a t h s
b ɑː θ s	b a t h s
b æ θ t ʊ b	b a t h t u b
b ɑː θ t ʌ b	b a t h t u b
b ɑː θ w ɔː t ə ɹ	b a t h w a t e r
b e ɪ θ i ə l	b a t h y a l
b æ θ i ə l	b a t h y a l
b ə θ ɪ m ə t ɹ i	b a t h y m e t r y
b æ θ ɪ s k e ɪ v	b a t h y s c a p h e
b æ θ ɪ s k æ f	b a t h y s c a p h e
b æ θ ɪ s ɪ d ə ɹ ə ʊ d ɹ ə ʊ m ə f ə ʊ b ɪ ə	b a t h y s i d e r o d r o m o p h o b i a
b æ θ ɪ s f ɪ ə ɹ	b a t h y s p h e r e
b ə t iː k	b a t i k
b e ɪ t ɪ ŋ	b a t i n g
b ə t iː s t	b a t i s t e
b æ t l ə t	b a t l e t
b a t m a n	b a t m a n
b æ t m ə n	b a t m a n
b æ t ɒ n	b a t o n
b æ t ə n	b a t o n
b ə t uː n	b a t o o n
b ə t ɹ e ɪ k ɪ ə n	b a t r a c h i a n
b ə t ɹ æ k ə f e ɪ ɡ ə s	b a t r a c h o p h a g o u s
b æ t s	b a t s
b æ t ʃ ɪ t	b a t s h i t
b æ t s m ə n	b a t s m a n
b a t s k w iː k	b a t s q u e a k
b ʌ t ə	b a t t a
b ə t æ l i ə n	b a t t a l i o n
b æ t ɪ d	b a t t e d
b æ t ə n	b a t t e n
b æ t ə	b a t t e r
b æ t ə d	b a t t e r e d
b æ t ə ɹ i z	b a t t e r i e s
b æ t ə ɹ ɪ ŋ ɡ	b a t t e r i n g
b æ t ə ɹ i	b a t t e r y
b æ t ɹ i	b a t t e r y
b æ t ɪ ŋ	b a t t i n g
b æ t ɪ ŋ z	b a t t i n g s
b æ t ə l	b a t t l e
b æ t ə l ɡ ɹ a ʊ n d	b a t t l e g r o u n d
b æ t l̩ m ɛ n t ə d	b a t t l e m e n t e d
b æ t l ə ɹ	b a t t l e r
b æ t l̩ z	b a t t l e s
b a t ɒ l ə d ʒ i	b a t t o l o g y
b ə t j uː	b a t t u e
b æ t i	b a t t y
b ɔː b ə n	b a u b o n
b ɔː d	b a u d
b ɔː l k	b a u l k
b ɔː k s a ɪ t	b a u x i t e
b æ v ə ɹ w ɑː	b a v a r o i s
b æ v ə ɹ w ɑ z	b a v a r o i s e
b æ v ə ɹ ɔ ɪ	b a v a r o y
b æ v ɛ t	b a v e t t e
b æ v ɪ n	b a v i n
b ɔː b iː	b a w b e e
b ɔː d	b a w d
b ɔː d ɪ l i	b a w d i l y
b ɔː d i	b a w d y
b ɔː n	b a w n
b ɔː n iː n	b a w n e e n
b ɔː s ə n	b a w s o n
b ɔː s ə n t	b a w s u n t
b ɔː t i	b a w t y
b e ɪ	b a y
b a ɪ ə d ɛ ə ɹ	b a y a d e r e
b e ɪ d	b a y e d
b e ɪ ə n ɛ t	b a y o n e t
b e ɪ ə n ɪ t	b a y o n e t
b a ɪ j uː	b a y o u
b a ɪ o ʊ	b a y o u
b e ɪ z	b a y s
b e ɪ z	b a y z e
b ɑː z ə	b a z a
b ə z ɑː ɹ	b a z a a r
b ə z ɪ l ɪ ə n	b a z i l l i o n
b ə z ɪ ŋ ɡ ə	b a z i n g a
b ə z ɒ ŋ ɡ ə	b a z o n g a
b ə z uː k ə	b a z o o k a
b ə z uː m	b a z o o m
b iː s iː	b c
b iː d e ɪ	b d a y
d ɛ l i ə m	b d e l l i u m
d ɛ l ɔ ɪ d	b d e l l o i d
d ɛ l ɪ ɡ m i ə	b d e l y g m i a
b e ɪ	b e
b i	b e
b iː	b e
b ə	b e
b ɛ	b e
b ɪ	b e
b iː ə b l	b e a b l e
b iː t͡ʃ	b e a c h
b iː t͡ʃ t	b e a c h e d
b iː t͡ʃ ɪ z	b e a c h e s
b iː t͡ʃ h ɛ d	b e a c h h e a d
b iː t͡ʃ ɪ ŋ	b e a c h i n g
b iː t͡ʃ ɪ ŋ z	b e a c h i n g s
b iː k ə n	b e a c o n
b iː k ə n d	b e a c o n e d
b iː k ə n ɪ ŋ	b e a c o n i n g
b iː k ə n ɪ ŋ z	b e a c o n i n g s
b iː k ə n z	b e a c o n s
b iː d	b e a d
b iː d ɪ d	b e a d e d
b iː d ɪ ŋ	b e a d i n g
b iː d ɪ ŋ z	b e a d i n g s
b iː d z	b e a d s
b iː d z m ə n	b e a d s m a n
b iː d i	b e a d y
b iː ɡ ə l	b e a g l e
b iː k	b e a k
b iː k t	b e a k e d
b iː k ə ɹ	b e a k e r
b iː k ɪ ŋ	b e a k i n g
b iː k ɪ ʃ	b e a k i s h
b iː k s	b e a k s
b iː k s ɛ d͡ʒ	b e a k s e d g e
b iː k i	b e a k y
b iː l	b e a l
b iː m	b e a m
b iː m ə ɹ	b e a m e r
b iː m ɪ ʃ	b e a m i s h
b iː m z	b e a m s
b iː n	b e a n
b iː n b æ ɡ	b e a n b a g
b iː n d	b e a n e d
b iː n f ɪ ə l d	b e a n f i e l d
b iː n i	b e a n i e
b iː n i z	b e a n i e s
b iː n ɪ ŋ	b e a n i n g
b iː n ə ʊ	b e a n o
b iː n z	b e a n s
b ɛ ə ɹ	b e a r
b ɛː ɹ	b e a r
b ɪ ə	b e a r
b ɛ ə ɹ ə b ə ɫ	b e a r a b l e
b ɛ ə b ə ɹ i	b e a r b e r r y
b ɪ ə d	b e a r d
b ɪ ə d ə d	b e a r d e d
b ɪ ə d ɪ d	b e a r d e d
b ɛ ə d ə m	b e a r d o m
b ɪ ə d i	b e a r d y
b e ə d	b e a r e d
b eː d	b e a r e d
b ɛ ə d	b e a r e d
b ɛ ə ɹ d	b e a r e d
b ɛ ɹ d	b e a r e d
b ɛ ə ɹ ə	b e a r e r
b ɛ ə z	b e a r s
b ɛ ə s k ɪ n	b e a r s k i n
b ɛ ə ɹ i	b e a r y
b iː s t	b e a s t
b iː s t i	b e a s t i e
b iː s t i z	b e a s t i e s
b iː s t ɪ l i	b e a s t i l y
b iː s t l i	b e a s t l y
b iː s t s	b e a s t s
b iː t	b e a t
b iː t b ɑ k s	b e a t b o x
b iː t ə n	b e a t e n
b iː t ə	b e a t e r
b iː ð	b e a t h
b ɪ ə t ɪ f ɪ k	b e a t i f i c
b iː ə t ɪ f ɪ k ə l	b e a t i f i c a l
b i æ t ɪ f ɪ k e ɪ ʃ ə n	b e a t i f i c a t i o n
b i æ t ɪ f a ɪ	b e a t i f y
b iː t ɪ ŋ	b e a t i n g
b iː t ɪ ŋ z	b e a t i n g s
b iː æ t ɪ t j uː d	b e a t i t u d e
b iː t n ɪ k	b e a t n i k
b iː t s	b e a t s
b ə ʊ	b e a u
b o ʊ k uː	b e a u c o u p
b u k u	b e a u c o u p
b j uː f e ɪ	b e a u f e t
b ə ʊ f e ɪ	b e a u f e t
b ə ʊ z	b e a u s
b j uː t	b e a u t
b j uː t ɪ ə s	b e a u t e o u s
b j uː t ʃ ə s	b e a u t e o u s
b j uː t ɪ t ʃ ə n	b e a u t i c i a n
b j uː t i z	b e a u t i e s
b j uː t ɪ f ɪ k e ɪ ʃ ə n	b e a u t i f i c a t i o n
b j u t ə f a ɪ z	b e a u t i f i e s
b j uː t ɪ f ə l	b e a u t i f u l
b j uː t ɪ f ʊ l	b e a u t i f u l
b j uː t ɪ f ə l i	b e a u t i f u l l y
b j uː t ɪ f a ɪ	b e a u t i f y
b j uː t ɪ l ə t i	b e a u t i l i t y
b j uː t s	b e a u t s
b j uː t i	b e a u t y
b iː v ə	b e a v e r
b iː v ə b ɔː d	b e a v e r b o a r d
b ɪ b e ɪ ð	b e b a t h e
b i b l ɛ s	b e b l e s s
b ə b l ɛ s	b e b l e s s
b ɪ b l ɛ s	b e b l e s s
b iː b ɒ p	b e b o p
b ə b ɒ ð ə	b e b o t h e r
b ɪ b ɪ z i	b e b u s y
b ɪ k ɑː m	b e c a l m
b ɪ k e ɪ m	b e c a m e
b ɪ k æ s ə l d	b e c a s t l e d
b ɪ k ɑː s ə l d	b e c a s t l e d
b ɪ k ɒ z	b e c a u s e
b ɪ k ə z	b e c a u s e
b ɪ k ʌ z	b e c a u s e
b ɛ k ə l	b e c c a l
b ɪ t͡ʃ æ n s	b e c h a n c e
b ɪ t͡ʃ ɑː n s	b e c h a n c e
b iː k ɪ k	b e c h i c
b ɛ k	b e c k
b ɛ k ɪ t	b e c k e t
b ɛ k ə n	b e c k o n
b ɛ k ə n d	b e c k o n e d
b ɛ k ə n ɪ ŋ	b e c k o n i n g
b ɛ k ə n ɪ ŋ z	b e c k o n i n g s
b ɛ k ə n z	b e c k o n s
b ɪ k l a ʊ d	b e c l o u d
b ə k ʊ m	b e c o m e
b ə k ʌ m	b e c o m e
b ɪ k ʊ m	b e c o m e
b ɪ k ʌ m	b e c o m e
b ə k ʌ m z	b e c o m e s
b ɪ k ʌ m z	b e c o m e s
b ɪ k ʊ m ɪ ŋ ɡ	b e c o m i n g
b ɪ k ʌ m ɪ ŋ	b e c o m i n g
b ɪ k ʌ m ɪ ŋ l i	b e c o m i n g l y
b ɪ k ɹ ɒ s	b e c r o s s
b ɪ k ɹ ɔː s	b e c r o s s
b ɛ k t uː m ə m æ b	b e c t u m o m a b
b ɛ d	b e d
b ɪ d æ f l̩ d	b e d a f f l e d
b ɪ d ɑː k n̩	b e d a r k e n
b ɪ d æ ʃ	b e d a s h
b ɪ d ɔː t ə d	b e d a u g h t e r e d
b ɪ d æ z l̩	b e d a z z l e
b ɛ d ɪ d	b e d d e d
b iː d	b e d e
b ɪ d ɛ f n̩	b e d e a f e n
b ɪ d ɛ k	b e d e c k
b ɛ d h ɛ d	b e d h e a d
b ɪ d a ɪ t	b e d i g h t
b ɪ d ɪ m	b e d i m
b ɪ d a ɪ z ə n	b e d i z e n
b ɪ d ɪ z ə n	b e d i z e n
b ɪ d a ɪ z ə n ɹ ɪ	b e d i z e n r y
b ɪ d ɪ z ə n ɹ ɪ	b e d i z e n r y
b ɛ d l ə m	b e d l a m
b ɛ d l ə s	b e d l e s s
b ə d uː	b e d o
b ɛ d w ɪ n	b e d o u i n
b ɛ d p æ n	b e d p a n
b ɛ d k w ɪ l t	b e d q u i l t
b ɪ d ɹ æ ɡ l̩	b e d r a g g l e
b ɪ d ɹ æ ɡ l̩ d	b e d r a g g l e d
b ɪ d ɹ e ɪ p	b e d r a p e
b ɛ d ɹ ɪ d ə n	b e d r i d d e n
b ə d ɹ a ɪ t	b e d r i t e
b ɛ d ɹ a ɪ t	b e d r i t e
b i d ɹ ɪ v ə l	b e d r i v e l
b ɪ d ɹ ɪ v ə l	b e d r i v e l
b ɛ d r ɒ k	b e d r o c k
b i d ɹ ʌ m	b e d r u m
b ə d ɹ ʌ m	b e d r u m
b ɛ d z	b e d s
b ɛ d ʃ iː t	b e d s h e e t
b ɛ d s a ɪ d	b e d s i d e
b ɛ d s ɪ t	b e d s i t
b ɛ d t a ɪ m	b e d t i m e
b ɪ d a ɪ	b e d y e
b iː	b e e
b iː b ɹ ɛ d	b e e b r e a d
b iː t͡ʃ	b e e c h
b iː t ʃ m ɑː s t	b e e c h m a s t
b iː t͡ʃ n ʌ t	b e e c h n u t
b iː f	b e e f
b iː f k e ɪ k	b e e f c a k e
b iː f s t e ɪ k	b e e f s t e a k
b iː f i	b e e f y
b iː h a ɪ v	b e e h i v e
b iː h a ɪ v z	b e e h i v e s
b iː l a ɪ n	b e e l i n e
b iː m ə	b e e m e r
b iː n	b e e n
b ɪ n	b e e n
b iː p	b e e p
b iː p t	b e e p e d
b iː p ə	b e e p e r
b iː p ɪ ŋ	b e e p i n g
b iː p ɪ ŋ z	b e e p i n g s
b iː p s	b e e p s
b iː ə	b e e r
b ɪ ə	b e e r
b ɪ ə ɹ z	b e e r s
b ɪ ə ɹ i	b e e r y
b iː z	b e e s
b iː s t ɪ ŋ z	b e e s t i n g s
b iː z w æ k s	b e e s w a x
b iː z w ɪ ŋ	b e e s w i n g
b iː t	b e e t
b iː t ə l	b e e t l e
b iː t l ə ʊ f	b e e t l o a f
b iː t ɹ uː t	b e e t r o o t
b iː t s	b e e t s
b iː v	b e e v e
b iː i	b e e y
b ɪ f ɔː l	b e f a l l
b ɪ f ɔ l ə n	b e f a l l e n
b ɪ f ɛ l	b e f e l l
b ɪ f ɛ z d	b e f e z z e d
b ɪ f ɪ t	b e f i t
b iː f ɪ t ɪ ŋ	b e f i t t i n g
b ɪ f l æ ɡ	b e f l a g
b ɪ f l æ ɡ d	b e f l a g g e d
b ɪ f l iː	b e f l e a
b ɪ f l ɛ k	b e f l e c k
b ɪ f uː l	b e f o o l
b ɪ f ɔː	b e f o r e
b ɪ f ɔː h æ n d	b e f o r e h a n d
b ɪ f ɔː t ʌ ɪ m	b e f o r e t i m e
b ɪ f a ʊ l	b e f o u l
b ɪ f ɹ ɛ n d	b e f r i e n d
b ɪ f ɹ ɛ n d ə	b e f r i e n d e r
b ɪ f ʌ d l	b e f u d d l e
b ɛ ɡ	b e g
b ɪ ɡ æ n	b e g a n
b ɪ ɡ æ n s t	b e g a n s t
b i ɡ æ t	b e g a t
b ɛ ɡ ə n ə	b e g e n a
b i ɡ ɛ t	b e g e t
b ə ɡ ɛ t	b e g e t
b ɪ ɡ ɛ t	b e g e t
b ɛ ɡ ə	b e g g a r
b ɛ ɡ ə ɹ i	b e g g a r y
b ɛ ɡ d	b e g g e d
b ɛ ɡ ɪ ŋ	b e g g i n g
b ɛ ɡ ɪ ŋ z	b e g g i n g s
b i ɡ ɪ n	b e g i n
b ə ɡ ɪ n	b e g i n
b ɪ ɡ ɪ n	b e g i n
b ɪ ɡ ɪ n ə	b e g i n n e r
b ɪ ɡ ɪ n ɪ ŋ	b e g i n n i n g
b ə ɡ ɪ n z	b e g i n s
b ɪ ɡ ɪ n z	b e g i n s
b ɪ ɡ ɜː ɹ t	b e g i r t
b ɪ n ɔː	b e g n a w
b iː ɡ ɒ n	b e g o n e
b ə ɡ ɒ n	b e g o n e
b ɪ ɡ ɒ n	b e g o n e
b ə ɡ ə ʊ n iː ə	b e g o n i a
b i ɡ ɑ ɹ ə	b e g o r r a
b ɪ ɡ ɒ t ə n	b e g o t t e n
b ɪ ɡ ɹ a ɪ m	b e g r i m e
b ɪ ɡ ɹ a ɪ p	b e g r i p e
b ɪ ɡ ɹ ʌ d͡ʒ	b e g r u d g e
b ɛ ɡ z	b e g s
b ɪ ɡ a ɪ l	b e g u i l e
b e ɪ ɡ iː n	b e g u i n e
b e ɪ ɡ ə m	b e g u m
b ə ɡ ʌ m	b e g u m
b ɛ ɡ ə m	b e g u m
b ɪ ɡ ʌ n	b e g u n
b ə h ɑː f	b e h a l f
b ɪ h ɑː f	b e h a l f
b iː h e ɪ v	b e h a v e
b ɪ h e ɪ v	b e h a v e
b iː h e ɪ v d	b e h a v e d
b ɪ h e ɪ v d	b e h a v e d
b ɪ h e ɪ v j ə	b e h a v i o r
b ɪ h e ɪ v j ə r ə l	b e h a v i o u r a l
b ɪ h ɛ d	b e h e a d
b ɪ h ɛ d ə l	b e h e a d a l
b ɪ h ɛ l d	b e h e l d
b ɪ h ɛ l p	b e h e l p
b iː ə m ə θ	b e h e m o t h
b ə h iː m ə θ	b e h e m o t h
b ɪ h ɛ s t	b e h e s t
b ə h a ɪ n d	b e h i n d
b ɪ h a ɪ n d	b e h i n d
b ɪ h ə ʊ l d	b e h o l d
b ɪ h ə ʊ l d ə n	b e h o l d e n
b ɪ h ə ʊ l d ə	b e h o l d e r
b ɪ h uː f	b e h o o f
b ɪ h uː v	b e h o o v e
b ɪ h ə ʊ v	b e h o v e
b ɪ h ə ʊ v f ə l	b e h o v e f u l
b ɪ h ə ʊ v ə n	b e h o v e n
b e ɪ d͡ʒ	b e i g e
b e ɪ ʒ	b e i g e
b e ɪ ʒ i	b e i g e y
b ɛ n j e ɪ	b e i g n e t
b iː n	b e i n
b iː ŋ	b e i n g
b iː ɪ ŋ	b e i n g
b iː ɪ ŋ z	b e i n g s
b iː d ʒ ə n	b e j a n
b ɪ d ʒ ɛ z j u ɪ t	b e j e s u i t
b ə d͡ʒ iː z ə s	b e j e s u s
b ɪ d͡ʒ ʌ ɡ ə l	b e j u g g l e
b ə k ɛ n	b e k e n
b ɪ k ɛ n	b e k e n
b ɪ k ɪ l t ə d	b e k i l t e d
b ɪ n a ɪ t	b e k n i g h t
b ɪ n a ɪ t ɪ d	b e k n i g h t e d
b ɪ n o ʊ n	b e k n o w n
b ɪ n o ʊ n s t	b e k n o w n s t
b ɛ l	b e l
b ɪ l e ɪ b ə	b e l a b o u r
b ɪ l æ p	b e l a p
b ɪ l æ p t	b e l a p p e d
b ɛ l æ t ə s ɛ p t	b e l a t a c e p t
b ɪ l e ɪ t	b e l a t e
b ɪ l e ɪ t ɪ d	b e l a t e d
b iː l e ɪ	b e l a y
b ɪ l e ɪ	b e l a y
b ɛ l t ʃ	b e l c h
b ɛ l t͡ʃ t	b e l c h e d
b ɛ l t͡ʃ ɪ z	b e l c h e s
b ɛ l t͡ʃ ɪ ŋ	b e l c h i n g
b ɛ l t͡ʃ ɪ ŋ z	b e l c h i n g s
b ɛ l t͡ʃ i	b e l c h y
b ɛ l d ə m	b e l d a m e
b ə l iː ɡ ə	b e l e a g u e r
b ɪ l iː ɡ ə	b e l e a g u e r
b ɪ l iː ɡ ə d	b e l e a g u e r e d
b ɪ l iː ɡ ə m ə n t	b e l e a g u e r m e n t
b ɪ l iː v	b e l e a v e
b ɛ l ə m n a ɪ t	b e l e m n i t e
b ɛ l f ɹ i d	b e l f r i e d
b ɛ l f ɹ i z	b e l f r i e s
b ɛ l f ɹ i	b e l f r y
b ə l a ɪ	b e l i e
b ɪ l a ɪ	b e l i e
b ə l iː f	b e l i e f
b ɪ l iː f	b e l i e f
b ɪ l iː v ə b l̩	b e l i e v a b l e
b ɪ l iː v	b e l i e v e
b ɪ l iː v ə	b e l i e v e r
b ɪ l ɪ t ə l	b e l i t t l e
b ɪ l a ɪ v	b e l i v e
b ɪ l ɪ v ə n	b e l i v e n
b ɛ l	b e l l
b ɛ l ə d ɒ n ə	b e l l a d o n n a
b ɛ l b ɔ ɪ	b e l l b o y
b ɛ l	b e l l e
b ɛ l d	b e l l e d
b ɛ l l ɛ t ɹ ɪ z ə m	b e l l e t r i s m
b ɛ l l ɛ t ɹ ɪ s t ɪ k	b e l l e t r i s t i c
b ɛ l ɪ s ɪ z m̩	b e l l i c i s m
b ɛ l i d	b e l l i e d
b ɛ l i z	b e l l i e s
b ə l ɪ d ʒ ə ɹ ə n t	b e l l i g e r e n t
b ɛ l ɪ ŋ	b e l l i n g
b ɛ l ɪ ŋ z	b e l l i n g s
b ə l ɪ p ə t ə n t	b e l l i p o t e n t
b ɛ l ə ʊ	b e l l o w
b ɛ l ə ʊ d	b e l l o w e d
b ɛ l ə ʊ z	b e l l o w s
b ɛ l z	b e l l s
b ɛ l j u a ɪ n	b e l l u i n e
b ɛ l w ɛ ð ə	b e l l w e t h e r
b ɛ l i	b e l l y
b ɛ l i e ɪ k	b e l l y a c h e
b ɛ l i w ɒ ʃ	b e l l y w a s h
b iː l ɔ ɪ d	b e l o i d
b ɛ l ɔ ɪ d	b e l o i d
b ɛ l ə ʊ m æ n s i	b e l o m a n c y
b ɛ l o ʊ n ɛ f o ʊ b iː ə	b e l o n e p h o b i a
b ɪ l ɒ ŋ	b e l o n g
b ɪ l ɒ ŋ d	b e l o n g e d
b ɪ l ɒ ŋ ə	b e l o n g e r
b ɪ l ɒ ŋ ə ʃ ɪ p	b e l o n g e r s h i p
b ɪ l ɒ ŋ ɪ ŋ	b e l o n g i n g
b ɪ l ɒ ŋ z	b e l o n g s
b ə l ɒ t	b e l o t e
b ɛ l ɒ t ɪ k æ n	b e l o t e c a n
b ɪ l ə ʊ v	b e l o v e
b ɪ l ʌ v	b e l o v e
b ɪ l ʌ v d	b e l o v e d
b ɪ l ʌ v ɪ d	b e l o v e d
b ɪ l ʌ v ɪ d n ɪ s	b e l o v e d n e s s
b ɪ l ə ʊ	b e l o w
b ɛ l s w æ ɡ ɚ	b e l s w a g g e r
b ɛ l t	b e l t
b ɛ l t ɪ d	b e l t e d
b ɛ l t ə	b e l t e r
b ɛ l t ɪ ŋ	b e l t i n g
b ɛ l t ɪ ŋ z	b e l t i n g s
b ɛ l t s	b e l t s
b ə l uː ɡ ə	b e l u g a
b iː l j u a ɪ n	b e l u i n e
b ɛ l v ɪ d ɪ ə	b e l v e d e r e
b iː m ə	b e m a
b ɪ m iː n	b e m e a n
b ɪ m ɛ d ə l d	b e m e d a l e d
b ɪ m ɪ ŋ ɡ ə l	b e m i n g l e
b ə m a ɪ ə	b e m i r e
b ɪ m ə ʊ n	b e m o a n
b ɪ m ɔ ɪ s n̩	b e m o i s t e n
b iː m ɒ l	b e m o l
b ə m j uː z	b e m u s e
b ɪ m j uː z	b e m u s e
b ɪ m j uː z d	b e m u s e d
b ɪ m j uː z ɪ ŋ	b e m u s i n g
b ɛ n	b e n
b ɛ n ə t ɒ p ɹ ə z o ʊ l	b e n a t o p r a z o l e
b ɛ n t͡ʃ	b e n c h
b ɛ n t͡ʃ t	b e n c h e d
b ɛ n t͡ʃ ɚ	b e n c h e r
b ɛ n t͡ʃ ɪ z	b e n c h e s
b ɛ n t͡ʃ ɪ ŋ	b e n c h i n g
b ɛ n t͡ʃ ɪ ŋ z	b e n c h i n g s
b ɛ n t ʃ m ɑː k	b e n c h m a r k
b ɛ n d	b e n d
b ɛ n d iː	b e n d e e
b ɛ n d ə	b e n d e r
b ɛ n d ɪ ŋ	b e n d i n g
b ɛ n d ɪ ŋ z	b e n d i n g s
b ɛ n d z	b e n d s
b ɛ n d i	b e n d y
b ɪ n d i	b e n d y
b iː n	b e n e
b ɪ n iː θ	b e n e a t h
b ɛ n ə d ɪ k ʃ ə n	b e n e d i c t i o n
b ɛ n ɪ f a k ʃ ə n	b e n e f a c t i o n
b ɛ n ə f a k t ə	b e n e f a c t o r
b ɛ n ɪ f ɪ s	b e n e f i c e
b ə n ɛ f ɪ s ə n s	b e n e f i c e n c e
b ə n ɛ f ɪ s ə n t	b e n e f i c e n t
b ɛ n ə f ɪ ʃ ə l	b e n e f i c i a l
b ɛ n ə f ɪ ʃ ə ɹ i	b e n e f i c i a r y
b ɛ n ɪ f ɪ ʃ ə ɹ i	b e n e f i c i a r y
b ɛ n ə f ɪ ʃ ə n t	b e n e f i c i e n t
b ɛ n ɪ f ɪ t	b e n e f i t
b ɪ n iː ɡ ɹ ə ʊ	b e n e g r o
b ɛ n ə t	b e n e t
b ɪ n ɛ t	b e n e t
b ə n ɛ v ə l ə n s	b e n e v o l e n c e
b ə n ɛ v ə l ə n t	b e n e v o l e n t
b ɛ ŋ ɡ ə l iː n	b e n g a l i n e
b ɪ n a ɪ t	b e n i g h t
b ɪ n a ɪ t ɪ d	b e n i g h t e d
b ɪ n a ɪ n	b e n i g n
b ə n ɪ ɡ n ə n t	b e n i g n a n t
b ə n ɪ ɡ n ə t i	b e n i g n i t y
b ɛ n ɪ s ə n	b e n i s o n
b ɛ n d͡ʒ ə m ɪ n	b e n j a m i n
b ɛ n ə k l uː ʒ ə n	b e n o c c l u s i o n
b ɛ n t	b e n t
b ɛ n θ ɪ k	b e n t h i c
b ɛ n θ ɒ s	b e n t h o s
b ɛ n t s	b e n t s
b ɛ n t͡ʃ	b e n t s h
b ɛ n t w ʊ d	b e n t w o o d
b i n ʌ m	b e n u m b
b ɛ n z iː n	b e n z e n e
b ɛ n z o ʊ	b e n z o
b ɛ n z ə ʊ e ɪ t	b e n z o a t e
b ɛ n z o ʊ d a ɪ æ z ɪ p iː n	b e n z o d i a z e p i n e
b ɛ n z ɔ ɪ n	b e n z o i n
b ɛ n z ə ʊ ɪ n	b e n z o i n
b ɛ n z o ʊ n ə t e ɪ t	b e n z o n a t a t e
b ɛ n z ə ʊ p a ɪ ɹ ə z iː n	b e n z o p y r a z i n e
b ɛ n z ə ʊ a ɪ l	b e n z o y l
b ɛ n z ə ʊ ɪ l	b e n z o y l
b ɛ n z a ɪ l	b e n z y l
b ɛ n z ɪ l	b e n z y l
b i j ɔ ɹ	b e o u r
b ɪ p ɪ l ɡ ɹ ɪ m d	b e p i l g r i m e d
b ɪ p ɪ n t͡ʃ	b e p i n c h
b ɪ p ɪ t i	b e p i t y
b ɛ p ə t æ s t iː n	b e p o t a s t i n e
b ɪ p ɹ ə ʊ z	b e p r o s e
b ɪ k w iː ð	b e q u e a t h
b ɪ k w iː θ	b e q u e a t h
b ɪ k w ɛ s t	b e q u e s t
b ɛ ə ɹ	b e r
b ɪ ɹ e ɪ t	b e r a t e
b ə ɹ e ɪ ʃ ə n	b e r a t i o n
b ɪ ɹ e ɪ	b e r a y
b ɛ ɚ b ɛ ɚ ɹ e ɪ	b e r b e r e
b ɛ ɚ b ɛ ɚ ɹ i	b e r b e r e
b ɝ b ɝ ɹ e ɪ	b e r b e r e
b ɝ b ɝ ɹ i	b e r b e r e
b ɝ b ɝ ɹ ə	b e r b e r e
b ɜː b ə ɹ iː n	b e r b e r i n e
b ə d a ʃ	b e r d a c h e
b ə ɹ d æ ʃ	b e r d a s h
b ɛ ə	b e r e
b ɪ ə	b e r e
b ɪ ɹ iː v	b e r e a v e
b ɪ ɹ iː v d	b e r e a v e d
b ə ɹ ɛ f t	b e r e f t
b ɪ ə m iː l	b e r e m e a l
b ɪ ɚ m i l	b e r e m e a l
b ə ɹ ɛ s k	b e r e s q u e
b ɛ ɹ ə s t ɒ l ə d͡ʒ i	b e r e s t o l o g y
b ɛ ɹ e ɪ	b e r e t
b ɜː ɡ	b e r g
b ɜː ɹ ɡ ɔː l	b e r g a l l
b ɜː ɡ ə m ɒ t	b e r g a m o t
b ɛ ɹ ɪ m b a ʊ	b e r i m b a u
b ɪ ɹ ɪ ŋ	b e r i n g
b ə ɹ ɪ s p	b e r i s p
b ɜː ɹ k	b e r k
b ɜː ɹ k iː l i ə m	b e r k e l i u m
b ɜː ɹ k l i ə m	b e r k e l i u m
b ə l ɪ n	b e r l i n
b ə ɹ l ɪ n a ɪ t	b e r l i n i t e
b ɜː ɹ m	b e r m
b ɪ ɹ ɒ b	b e r o b
b ɪ ɹ uː ʒ d	b e r o u g e d
b ɛ ɹ i	b e r r y
b ɛ ɹ s ə l j ɛ ɹ e ɪ	b e r s a g l i e r e
b ɛ ɹ s ə l j ɛ ɹ i	b e r s a g l i e r i
b ə z ɜː k	b e r s e r k
b ɜː s ɜː k	b e r s e r k
b ə z ɜː k ə	b e r s e r k e r
b ɜː s ɜː k ə	b e r s e r k e r
b ɜː θ	b e r t h
b ɜː ɹ θ ə	b e r t h a
b ɛː t i j ɒ n ɑː ʒ	b e r t i l l o n a g e
b ɛ ɹ ə l	b e r y l
b ə ɹ ɪ l i ə m	b e r y l l i u m
b iː z	b e s
b ɛ s ə ɡ j u	b e s a g e w
b ɛ s ə ɡ j u	b e s a g u e
b ɪ s e ɪ l	b e s a i e l
b ɪ s e ɪ ə l	b e s a i e l
b ɪ s ɑ l t ɪ d	b e s a l t e d
b e ɪ s ə n	b e s a n
b ɪ s æ t͡ʃ ə l d	b e s a t c h e l e d
b ɪ s iː t͡ʃ	b e s e e c h
b ə s iː k	b e s e e k
b ɪ s iː m	b e s e e m
b ə z ɜː ɹ k	b e s e r k
b ɪ s ɛ t	b e s e t
b ɪ ʃ ə ʊ	b e s h o w
b ɪ s a ɪ d	b e s i d e
b ɪ s a ɪ d z	b e s i d e s
b ə s iː d͡ʒ	b e s i e g e
b ə s iː d͡ʒ d	b e s i e g e d
b ɛ s ɪ l ɛ s ə m æ b	b e s i l e s o m a b
